name,status,envtag,method,leaves_budget,seed,alg,env,difficulty,leaves_actual,depth,select,report,report_min,report_max,frac100,n_report,bigjumps,candjumps
bus5_distill_L8_s103,ok,bus5,distill,8,103,DTPO,bus5,0,8,5,0.13,0.13,0.05,0.55,0.0,10,0,0
bus5_distill_L8_s104,ok,bus5,distill,8,104,DTPO,bus5,0,8,5,0.13,0.13,0.05,0.55,0.0,10,0,0
bus5_dtpo-full-M2_L16_s100,ok,bus5,dtpo-full-M2,16,100,DTPO,bus5,0,16,8,100.00,100.00,100.00,100.00,100.0,10,3,49
bus5_dtpo-full-M2_L16_s101,ok,bus5,dtpo-full-M2,16,101,DTPO,bus5,0,16,6,100.00,100.00,100.00,100.00,100.0,10,2,33
bus5_dtpo-full-M2_L16_s102,ok,bus5,dtpo-full-M2,16,102,DTPO,bus5,0,16,6,100.00,100.00,100.00,100.00,100.0,10,1,39
bus5_dtpo-full-M2_L16_s103,ok,bus5,dtpo-full-M2,16,103,DTPO,bus5,0,16,6,100.00,100.00,100.00,100.00,100.0,10,1,40
bus5_dtpo-full-M2_L16_s104,ok,bus5,dtpo-full-M2,16,104,DTPO,bus5,0,16,7,100.00,100.00,100.00,100.00,100.0,10,1,49
bus5_dtpo-full-M8_L16_s100,ok,bus5,dtpo-full-M8,16,100,DTPO,bus5,0,16,7,100.00,100.00,100.00,100.00,100.0,10,1,13
bus5_dtpo-full-M8_L16_s101,ok,bus5,dtpo-full-M8,16,101,DTPO,bus5,0,16,6,100.00,100.00,100.00,100.00,100.0,10,1,29
bus5_dtpo-full-M8_L16_s102,ok,bus5,dtpo-full-M8,16,102,DTPO,bus5,0,16,6,100.00,100.00,100.00,100.00,100.0,10,1,37
bus5_dtpo-full-M8_L16_s103,ok,bus5,dtpo-full-M8,16,103,DTPO,bus5,0,16,6,100.00,100.00,100.00,100.00,100.0,10,1,56
bus5_dtpo-full-M8_L16_s104,ok,bus5,dtpo-full-M8,16,104,DTPO,bus5,0,16,6,100.00,100.00,100.00,100.00,100.0,10,1,12
bus5_dtpo-full-pat3_L16_s100,ok,bus5,dtpo-full-pat3,16,100,DTPO,bus5,0,16,6,100.00,100.00,100.00,100.00,100.0,10,8,27
